id,titulo_es,titulo_en,institucion_id,categoria,tipo_iniciativa,estado_catalogo,fase_implementacion,estado_ia,desde,fecha_primera_evidencia,fecha_ultima_verificacion,fuentes,resultados_verificados,url_es,url_en
micitt-agroboost,AgroBoost: tecnologías para unidades productivas agrícolas,AgroBoost: technologies for agricultural production units,micitt,agricultura,programa-capacidades,ecosistema,operativo,declarada-sin-tecnica,2025,2025,2026-08-19,2,0,https://observatorioia.org/es/proyectos/micitt-agroboost/,https://observatorioia.org/en/proyectos/micitt-agroboost/
ucr-citic-ia-software,Integración de IA en ingeniería de software (CITIC),AI integration in software engineering (CITIC),ucr,educacion,investigacion,ecosistema,desarrollo,confirmada,2025,2025-03-01,2026-08-19,1,1,https://observatorioia.org/es/proyectos/ucr-citic-ia-software/,https://observatorioia.org/en/proyectos/ucr-citic-ia-software/
ucr-ciodd-ethical-ai,Ethical AI: Educate and Innovate (Erasmus+),Ethical AI: Educate and Innovate (Erasmus+),ucr,educacion,politica-gobernanza,ecosistema,desarrollo,confirmada,2025,2025-08-25,2026-08-19,1,0,https://observatorioia.org/es/proyectos/ucr-ciodd-ethical-ai/,https://observatorioia.org/en/proyectos/ucr-ciodd-ethical-ai/
cenat-lania,LaNIA: Laboratorio Nacional de IA,LaNIA: National AI Laboratory,cenat,infraestructura,programa-capacidades,ecosistema,planificado,confirmada,2023,2023-02-27,2026-08-19,1,0,https://observatorioia.org/es/proyectos/cenat-lania/,https://observatorioia.org/en/proyectos/cenat-lania/
cenat-cnca-clasificacion-arritmias-ecg,Clasificación de arritmias en ECG con aprendizaje automático (CNCA),ECG arrhythmia classification with machine learning (CNCA),cenat,salud,investigacion,ecosistema,prueba-concepto,confirmada,2024,2024,2026-08-19,1,1,https://observatorioia.org/es/proyectos/cenat-cnca-clasificacion-arritmias-ecg/,https://observatorioia.org/en/proyectos/cenat-cnca-clasificacion-arritmias-ecg/
pj-sala-primera-induccion-ia,Inducción de Sala Primera para uso asistido de IA,First Chamber induction on the use of AI to support decision-making,poder-judicial,judicial,programa-capacidades,ecosistema,desarrollo,declarada-sin-tecnica,2026,2026-07-17,2026-08-19,1,0,https://observatorioia.org/es/proyectos/pj-sala-primera-induccion-ia/,https://observatorioia.org/en/proyectos/pj-sala-primera-induccion-ia/
pj-conamaj-chat-facilitadores,Chat de IA de CONAMAJ para personas facilitadoras judiciales,CONAMAJ AI chat for judicial facilitators,poder-judicial,judicial,sistema-ia,seguimiento,prueba-concepto,confirmada,2026,2026-08,2026-08-19,1,0,https://observatorioia.org/es/proyectos/pj-conamaj-chat-facilitadores/,https://observatorioia.org/en/proyectos/pj-conamaj-chat-facilitadores/
inamu-ela,"Ela, aplicación de orientación para mujeres","Ela, guidance application for women",inamu,social,sistema-ia,verificado,operativo,confirmada,2025,2025,2026-08-21,3,0,https://observatorioia.org/es/proyectos/inamu-ela/,https://observatorioia.org/en/proyectos/inamu-ela/
ins-reclamos-medicos-ia,IA para reclamos de gastos médicos del INS,AI for INS medical-expense claims,ins,salud,componente-ia,seguimiento,operativo,declarada-sin-tecnica,2024,2024-12,2026-08-21,2,2,https://observatorioia.org/es/proyectos/ins-reclamos-medicos-ia/,https://observatorioia.org/en/proyectos/ins-reclamos-medicos-ia/
pj-oij-tec-ia-investigacion,Investigación OIJ–TEC en IA para análisis criminal,OIJ–TEC AI research for criminal analysis,poder-judicial,judicial,investigacion,ecosistema,desarrollo,confirmada,2024,2024-01-01,2026-08-21,3,1,https://observatorioia.org/es/proyectos/pj-oij-tec-ia-investigacion/,https://observatorioia.org/en/proyectos/pj-oij-tec-ia-investigacion/
