resultado_codigo,eje_numero,eje_es,eje_en,linea_accion_codigo,linea_accion_es,linea_accion_en,resultado_esperado_es,resultado_esperado_en,intervencion_id,pagina_plan,intervencion_fuente_es,objetivo_fuente_es,responsable_oficial,estado_ejecucion,cruce_catalogo_estado,proyecto_ids,indicadores,fecha_ultima_revision
1.1.3,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.1,"Proponer un marco ético y normativo para el uso, adopción y desarrollo responsable de la IA en Costa Rica","Propose an ethical and regulatory framework for responsible AI use, adoption and development in Costa Rica",Sistema de medición y validación que asegure el cumplimiento de normas éticas y técnicas por parte de desarrolladores e implementadores de IA,Measurement and validation system established to assess compliance with ethical and technical standards by AI developers and implementers,enia-1-1-3-01,5,Mecanismo de medición y validación para el aseguramiento del cumplimiento de las normas éticas y técnicas por parte de desarrolladores e implementadores de IA,Medir el cumplimiento de normas éticas y técnicas por parte de desarrolladores e implementadores de IA,MICITT-DIDI,no-verificado,no-es-sistema-ia,,2,2026-08-21
1.2.1,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.2,Generar instrumentos técnicos para el uso y desarrollo responsable de la inteligencia artificial,Develop technical instruments for responsible AI use and development,Recomendaciones técnicas que incorporen criterios de sostenibilidad y eficiencia energética emitidas,Technical recommendations issued incorporating sustainability and energy-efficiency criteria,enia-1-2-1-01,6,Manual de normas técnicas y buenas prácticas existentes en materia de sostenibilidad y eficiencia energética,Emitir recomendaciones con criterios de sostenibilidad y eficiencia energética a partir del estudio e investigación de buenas prácticas e instrumentos internacionales,MICITT-DIDI,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.2.1,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.2,Generar instrumentos técnicos para el uso y desarrollo responsable de la inteligencia artificial,Develop technical instruments for responsible AI use and development,Recomendaciones técnicas que incorporen criterios de sostenibilidad y eficiencia energética emitidas,Technical recommendations issued incorporating sustainability and energy-efficiency criteria,enia-1-2-1-02,6,Guía para la elaboración de Políticas Públicas para el uso y aprovechamiento de la IA,"Fomentar la formulación de políticas públicas basadas en el aprovechamiento de la inteligencia artificial, que promuevan la inclusión, la equidad y la sostenibilidad en beneficio de la población.",Ministerio de Planificación y Política Económica (MIDEPLAN)*,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.2.2,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.2,Generar instrumentos técnicos para el uso y desarrollo responsable de la inteligencia artificial,Develop technical instruments for responsible AI use and development,Adopción de buenas prácticas para protección de datos personales entre los desarrolladores e implementadores,Good personal-data protection practices adopted among developers and implementers,enia-1-2-2-01,6,Guía de buenas prácticas para la protección de datos personales,Emitir una guía dirigida al cumplimiento de la normativa de protección de datos personales en proyectos de IA,PRODHAB,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.2.2,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.2,Generar instrumentos técnicos para el uso y desarrollo responsable de la inteligencia artificial,Develop technical instruments for responsible AI use and development,Adopción de buenas prácticas para protección de datos personales entre los desarrolladores e implementadores,Good personal-data protection practices adopted among developers and implementers,enia-1-2-2-02,7,"Elaborar una guía visual e iconográfica para la identificación del uso de la inteligencia artificial en la producción institucional, como parte de las acciones de transparencia y acceso a la información.","Fomentar la transparencia en el uso de la inteligencia artificial en el desarrollo de productos institucionales, mediante el uso de iconografía que facilite la identificación de los distintos niveles de intervención de la IA.",Ministerio de Planificación y Política Económica (MIDEPLAN)*,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.2.3,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.2,Generar instrumentos técnicos para el uso y desarrollo responsable de la inteligencia artificial,Develop technical instruments for responsible AI use and development,Incentivos para la adopción de prácticas innovadoras y responsables en el desarrollo de IA implementados,Incentives implemented for innovative and responsible AI development practices,enia-1-2-3-01,7,Portafolio de alternativas de apoyo técnico- financiero para el desarrollo de proyectos de IA dirigidos al sector empresarial,Contar con información actualizada de alternativas de apoyo técnico-financiero para el desarrollo de proyectos de IA dirigidos al sector empresarial,Promotora,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.2.3,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.2,Generar instrumentos técnicos para el uso y desarrollo responsable de la inteligencia artificial,Develop technical instruments for responsible AI use and development,Incentivos para la adopción de prácticas innovadoras y responsables en el desarrollo de IA implementados,Incentives implemented for innovative and responsible AI development practices,enia-1-2-3-02,7,Incentivos para promover la inversión de I+D con enfoque en IA,Incentivar la inversión en I+D con enfoque en IA,MICITT-DIDI,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.2.3,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.2,Generar instrumentos técnicos para el uso y desarrollo responsable de la inteligencia artificial,Develop technical instruments for responsible AI use and development,Incentivos para la adopción de prácticas innovadoras y responsables en el desarrollo de IA implementados,Incentives implemented for innovative and responsible AI development practices,enia-1-2-3-03,8,Convocatorias para iniciativas de investigación y desarrollo de IA,Fomentar la investigación y el desarrollo de la IA a nivel interinstitucional,MICITT-DIDI,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.3.1,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.3,Generar lineamientos para la gestión y calidad de datos,Develop guidelines for data management and quality,Marco nacional integral para la gobernanza de datos de IA implementado,Comprehensive national AI data-governance framework implemented,enia-1-3-1-01,8,Instructivo para la elaboración de manuales institucionales de gobernanza de datos de IA,Establecer lineamientos que orienten a las instituciones en la implementación de la gobernanza de datos en IA,MICITT-DIDI,no-verificado,no-es-sistema-ia,,2,2026-08-21
1.3.1,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.3,Generar lineamientos para la gestión y calidad de datos,Develop guidelines for data management and quality,Marco nacional integral para la gobernanza de datos de IA implementado,Comprehensive national AI data-governance framework implemented,enia-1-3-1-02,8,Modelo Institucional de Gobernanza de Datos para IA,"Elaborar y publicar un Modelo Institucional de Gobernanza de Datos para inteligencia artificial en el INS, que incorpore lineamientos éticos, de seguridad, privacidad y calidad de datos, incluyendo un manual oficial con directrices para el uso responsable de datos en proyectos de IA institucionales, con énfasis en explicabilidad, minimización de sesgos y supervisión humana.",Instituto Nacional de Seguros (INS),no-verificado,no-es-sistema-ia,,1,2026-08-21
1.3.1,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.3,Generar lineamientos para la gestión y calidad de datos,Develop guidelines for data management and quality,Marco nacional integral para la gobernanza de datos de IA implementado,Comprehensive national AI data-governance framework implemented,enia-1-3-1-03,9,Modelo Institucional de Gobernanza de Datos para IA,Establecer lineamientos que orienten a las instituciones en la implementación de la gobernanza de datos en IA,Ministerio de Planificación y Política Económica (MIDEPLAN)*,no-verificado,no-es-sistema-ia,,1,2026-08-21
1.3.1,1,"IA ética, segura y responsable","Ethical, safe and responsible AI",1.3,Generar lineamientos para la gestión y calidad de datos,Develop guidelines for data management and quality,Marco nacional integral para la gobernanza de datos de IA implementado,Comprehensive national AI data-governance framework implemented,enia-1-3-1-04,9,Modelo Institucional de Gobernanza de Datos para IA,Participación y colaboración activa en la generación de lineamientos para la gestión y calidad de datos,Ministerio de Hacienda,no-verificado,no-es-sistema-ia,,1,2026-08-21
2.1.1,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.1,Mejorar la articulación territorial y la coordinación entre distintos niveles de gobierno fuera de la GAM,Improve territorial coordination among levels of government outside the Greater Metropolitan Area,Proyectos piloto de IA fuera de la GAM en contextos locales implementados,Local AI pilot projects implemented outside the Greater Metropolitan Area,enia-2-1-1-01,10,IA en los territorios,Promover procesos de capacitación y formación en los gobiernos locales para el desarrollo de capacidades que permitan impulsar el uso y la gestión de la IA,IFAM,no-verificado,no-es-sistema-ia,,2,2026-08-21
2.1.1,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.1,Mejorar la articulación territorial y la coordinación entre distintos niveles de gobierno fuera de la GAM,Improve territorial coordination among levels of government outside the Greater Metropolitan Area,Proyectos piloto de IA fuera de la GAM en contextos locales implementados,Local AI pilot projects implemented outside the Greater Metropolitan Area,enia-2-1-1-02,11,IA en los territorios,"Desarrollar e implementar programas piloto de alfabetización digital en IA en comunidades fuera de la GAM, en coordinación con gobiernos locales, aliados educativos y actores regionales.",Instituto Nacional de Seguros (INS),no-verificado,no-es-sistema-ia,,1,2026-08-21
2.1.1,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.1,Mejorar la articulación territorial y la coordinación entre distintos niveles de gobierno fuera de la GAM,Improve territorial coordination among levels of government outside the Greater Metropolitan Area,Proyectos piloto de IA fuera de la GAM en contextos locales implementados,Local AI pilot projects implemented outside the Greater Metropolitan Area,enia-2-1-1-03,11,IA para el desarrollo Agricola,Generar capacidades en productores agrícolas para la integración de tecnologías de frontera en sus cadenas de valor,MICITT,parcialmente-verificado,coincidencia-parcial,micitt-agroboost,1,2026-08-21
2.1.1,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.1,Mejorar la articulación territorial y la coordinación entre distintos niveles de gobierno fuera de la GAM,Improve territorial coordination among levels of government outside the Greater Metropolitan Area,Proyectos piloto de IA fuera de la GAM en contextos locales implementados,Local AI pilot projects implemented outside the Greater Metropolitan Area,enia-2-1-1-04,11,IA para el desarrollo Agricola,"Transferir tecnología especializada a PYMPAS para el uso más eficiente de los recursos, mitigación del impacto ambiental y menor costo de producción",INDER,no-verificado,no-es-sistema-ia,,1,2026-08-21
2.1.1,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.1,Mejorar la articulación territorial y la coordinación entre distintos niveles de gobierno fuera de la GAM,Improve territorial coordination among levels of government outside the Greater Metropolitan Area,Proyectos piloto de IA fuera de la GAM en contextos locales implementados,Local AI pilot projects implemented outside the Greater Metropolitan Area,enia-2-1-1-05,12,IA para el desarrollo Agricola,Promover la tecnificación de procesos de trazabilidad pecuaria para el análisis de datos y toma de decisiones en las cadenas productivas,INDER,no-verificado,enia-solamente,,1,2026-08-21
2.1.1,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.1,Mejorar la articulación territorial y la coordinación entre distintos niveles de gobierno fuera de la GAM,Improve territorial coordination among levels of government outside the Greater Metropolitan Area,Proyectos piloto de IA fuera de la GAM en contextos locales implementados,Local AI pilot projects implemented outside the Greater Metropolitan Area,enia-2-1-1-06,12,IA para el desarrollo Agricola,Promover la industrialización agropecuaria del sector arrocero a través de tecnologías basadas en la IA en la Región Pacífico Central,INDER,no-verificado,enia-solamente,,1,2026-08-21
2.1.3,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.1,Mejorar la articulación territorial y la coordinación entre distintos niveles de gobierno fuera de la GAM,Improve territorial coordination among levels of government outside the Greater Metropolitan Area,Redes de colaboración regional implementadas,Regional collaboration networks implemented,enia-2-1-3-01,12,Portafolio de iniciativas de IA en las regiones,Identificar servicios y apoyos para la innovación y el desarrollo tecnológico de la IA en los territorios,MICITT,no-verificado,no-es-sistema-ia,,1,2026-08-21
2.1.3,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.1,Mejorar la articulación territorial y la coordinación entre distintos niveles de gobierno fuera de la GAM,Improve territorial coordination among levels of government outside the Greater Metropolitan Area,Redes de colaboración regional implementadas,Regional collaboration networks implemented,enia-2-1-3-02,13,Establecimiento e implementación de LINC por gobiernos locales,"Integrar a actores gubernamentales, académicos y del sector privado e la coordinación de esfuerzos y recursos para el desarrollo de IA en el territorio",MICITT-DIDI,parcialmente-verificado,mapeado-exacto,micitt-linc,1,2026-08-21
2.2.1,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.2,"Promover la dinamización empresarial mediante el uso, aplicación y desarrollo de inteligencia artificial","Promote business development through AI use, application and development",Análisis de tendencias para identificar oportunidades de negocio basadas en IA realizados,Trend analyses conducted to identify AI-based business opportunities,enia-2-2-1-01,13,Análisis de tendencias de mercado de IA,Promover la productividad y la competitividad en emprendimientos y PYMEs a partir de tendencias identificadas,MICITT,no-verificado,no-es-sistema-ia,,1,2026-08-21
2.2.1,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.2,"Promover la dinamización empresarial mediante el uso, aplicación y desarrollo de inteligencia artificial","Promote business development through AI use, application and development",Análisis de tendencias para identificar oportunidades de negocio basadas en IA realizados,Trend analyses conducted to identify AI-based business opportunities,enia-2-2-1-02,13,Análisis de tendencias de mercado de IA,"Realizar un diagnóstico sobre el estado actual de la aplicación de la inteligencia artificial en la CNFL y sus necesidades futuras, considerando capacidades habilitadoras como ciberseguridad, interoperabilidad y gobierno de datos.",Instituto Costarricense de Electricidad (ICE)*,no-verificado,no-es-sistema-ia,,1,2026-08-21
2.2.2,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.2,"Promover la dinamización empresarial mediante el uso, aplicación y desarrollo de inteligencia artificial","Promote business development through AI use, application and development",Programas de asistencia técnica para PYMES y emprendimientos que deseen adoptar tecnologías de IA implementados,Technical-assistance programs implemented for SMEs and ventures seeking to adopt AI,enia-2-2-2-01,14,"Asistencia técnica para emprendimientos, PYMEs y PYMPAs en el uso y adopción de tecnologías de IA",Fomentar el uso y adopción de tecnologías de IA en cadenas de valor de emprendimientos y PYMPAs y PYMES.,MICITT-DIDI,parcialmente-verificado,coincidencia-parcial,micitt-agroboost,1,2026-08-21
2.2.2,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.2,"Promover la dinamización empresarial mediante el uso, aplicación y desarrollo de inteligencia artificial","Promote business development through AI use, application and development",Programas de asistencia técnica para PYMES y emprendimientos que deseen adoptar tecnologías de IA implementados,Technical-assistance programs implemented for SMEs and ventures seeking to adopt AI,enia-2-2-2-02,14,"Asistencia técnica para emprendimientos, PYMEs y PYMPAs en el uso y adopción de tecnologías de IA","Incorporar en el Programa Anual de Capacitación a PYMES de PROCOMER, durante 2026 y 2027, al menos una temática anual relacionada con el uso de inteligencia artificial.",Promotora Costarricense de Comercio Exterior (PROCOMER)*,no-verificado,no-es-sistema-ia,,1,2026-08-21
2.2.2,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.2,"Promover la dinamización empresarial mediante el uso, aplicación y desarrollo de inteligencia artificial","Promote business development through AI use, application and development",Programas de asistencia técnica para PYMES y emprendimientos que deseen adoptar tecnologías de IA implementados,Technical-assistance programs implemented for SMEs and ventures seeking to adopt AI,enia-2-2-2-03,14,"Formación y fortalecimiento de capacidades para emprendimientos, PYMEs y PYMPAs en el uso y adopción de tecnologías de IA","Impulsar procesos de formación y fortalecimiento de capacidades dirigidos a pymes y emprendimientos, en articulación con aliados estratégicos (instituciones del sector público, sector privado, academia, entre otros), para promover el desarrollo económico mediante la incorporación de tecnologías de inteligencia artificial (IA) como herramienta para la innovación, la competitividad y la sostenibilidad de los negocios.","Ministerio de Economía, Industria Comerio (MEIC)",no-verificado,no-es-sistema-ia,,1,2026-08-21
2.2.2,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.2,"Promover la dinamización empresarial mediante el uso, aplicación y desarrollo de inteligencia artificial","Promote business development through AI use, application and development",Programas de asistencia técnica para PYMES y emprendimientos que deseen adoptar tecnologías de IA implementados,Technical-assistance programs implemented for SMEs and ventures seeking to adopt AI,enia-2-2-2-04,15,"Gobiernos locales con capacidades instaladas para promover la dinamización empresarial mediante el uso, aplicación y desarrollo de herramientas de IA",Promover acciones de capacitación y formación en los gobiernos locales para el impulso del desarrollo económico local a partir del emprendimiento en los territorios con enfoque en la adopción de tecnologías de IA,IFAM,no-verificado,no-es-sistema-ia,,2,2026-08-21
2.2.3,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.2,"Promover la dinamización empresarial mediante el uso, aplicación y desarrollo de inteligencia artificial","Promote business development through AI use, application and development",Alianzas entre entes públicos y privados que impulsen proyectos de IA en el sector empresarial creadas,Public-private partnerships created to advance AI projects in the business sector,enia-2-2-3-01,16,Alianzas Estratégicas para IA,Promover nuevas alianzas estratégicas que impulsen el desarrollo de proyectos de IA en los diferentes sectores,PROMOTORA,no-verificado,no-es-sistema-ia,,1,2026-08-21
2.2.4,2,Articulación territorial y desarrollo económico,Territorial coordination and economic development,2.2,"Promover la dinamización empresarial mediante el uso, aplicación y desarrollo de inteligencia artificial","Promote business development through AI use, application and development","Infraestructura, recursos y asesoramiento técnico sobre soluciones de IA facilitados a empresas locales por medio de LINC","AI infrastructure, resources and technical advice provided to local businesses through LINC",enia-2-2-4-01,16,Transferencia tecnológica a los LINC,"Fortalecer los Laboratorios de Innovación Comunitaria del MICITT para la creación y el fomento de capacidades, habilidades y conocimiento de innovación de las personas usuarias",MICITT,parcialmente-verificado,mapeado-exacto,micitt-linc,2,2026-08-21
3.1.1,3,Promoción de I+D+i en IA,Promotion of AI R&D&I,3.1,Fomento a la investigación en IA,Promote AI research,Agenda de investigación con áreas prioritarias y oportunidades estratégicas para la I+D+i en IA definida,AI R&D&I research agenda defined with priority areas and strategic opportunities,enia-3-1-1-01,17,Fomento en I+D+i en IA,Elaborar la agenda de prioridades de investigación y desarrollo tecnológico en IA para CR,MICITT,no-verificado,no-es-sistema-ia,,1,2026-08-21
3.1.1,3,Promoción de I+D+i en IA,Promotion of AI R&D&I,3.1,Fomento a la investigación en IA,Promote AI research,Agenda de investigación con áreas prioritarias y oportunidades estratégicas para la I+D+i en IA definida,AI R&D&I research agenda defined with priority areas and strategic opportunities,enia-3-1-1-02,17,Fomento en I+D+i en IA,Fomentar el uso de compartido de recursos y conocimientos para la I+D+i en IA a través de alianzas estratégicas,MICITT-DIDI,no-verificado,no-es-sistema-ia,,1,2026-08-21
3.1.1,3,Promoción de I+D+i en IA,Promotion of AI R&D&I,3.1,Fomento a la investigación en IA,Promote AI research,Agenda de investigación con áreas prioritarias y oportunidades estratégicas para la I+D+i en IA definida,AI R&D&I research agenda defined with priority areas and strategic opportunities,enia-3-1-1-03,18,Fomento en I+D+i en IA,Establecer la agenda de prioridades de investigación y desarrollo tecnológico asociadas a IA (Salud),MICITT-DIDI,no-verificado,no-es-sistema-ia,,1,2026-08-21
3.1.1,3,Promoción de I+D+i en IA,Promotion of AI R&D&I,3.1,Fomento a la investigación en IA,Promote AI research,Agenda de investigación con áreas prioritarias y oportunidades estratégicas para la I+D+i en IA definida,AI R&D&I research agenda defined with priority areas and strategic opportunities,enia-3-1-1-04,18,Fomento en I+D+i en IA,"Realizar un diagnóstico sobre el estado actual de la aplicación de la inteligencia artificial en la CNFL y sus necesidades futuras, considerando capacidades habilitadoras como ciberseguridad, interoperabilidad y gobierno de datos",Instituto Costarricense de Electricidad (ICE)*,no-verificado,posible-duplicado,,1,2026-08-21
3.1.2,3,Promoción de I+D+i en IA,Promotion of AI R&D&I,3.1,Fomento a la investigación en IA,Promote AI research,Convocatorias para proyectos de investigación aplicada en IA que aborden problemas relevantes publicadas,Calls issued for applied AI research projects addressing relevant problems,enia-3-1-2-01,18,Incentivos para proyectos de investigación aplicada en IA,Fomentar la investigación y el desarrollo en IA en áreas prioritarias país a través de convocatorias de apoyo técnico-financiero,PROMOTORA,no-verificado,no-es-sistema-ia,,1,2026-08-21
3.2.1,3,Promoción de I+D+i en IA,Promotion of AI R&D&I,3.2,Promover iniciativas que fomenten el uso e implementación de IA en los diferentes sectores,Promote initiatives that advance AI use and implementation across sectors,"Proyectos piloto de IA en sectores estratégicos como sostenibilidad, salud y trabajo implementados","AI pilot projects implemented in strategic sectors such as sustainability, health and work",enia-3-2-1-01,19,Integración de IA en cadenas de valor productivas,Generar capacidades en productores agrícolas para la integración de tecnologías de frontera en sus cadenas de valor,MICITT,parcialmente-verificado,posible-duplicado,micitt-agroboost,1,2026-08-21
3.2.2,3,Promoción de I+D+i en IA,Promotion of AI R&D&I,3.2,Promover iniciativas que fomenten el uso e implementación de IA en los diferentes sectores,Promote initiatives that advance AI use and implementation across sectors,Oferta programática para promover el uso de IA en los LINC del MICITT,Program offering established to promote AI use at MICITT LINC labs,enia-3-2-2-01,19,Habilidades y capacidades en IA,"Fortalecer sus capacidades para enfrentar los retos de la transformación digital y aprovechar el potencial de la tecnología para mejorar la competitividad, eficiencia y sostenibilidad de sus operaciones.",Instituto Costarricense de Turismo (ICT)*,no-verificado,no-es-sistema-ia,,1,2026-08-21
